"codigo.del..municipio..ies.","codigo.del..departamento..ies.","id.caracter.ies","ies.padre","codigo.de..la.institucion","institucion.de.educacion.superior..ies.","principal..o.seccional","id.sector.ies","sector.ies","caracter.ies","departamento.de..domicilio.de.la.ies","municipio.de.domicilio.de.la.ies","ano","semestre","auxiliar","servicios.tecnicos","profesional","directivo","total"
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2019,2,3,1,2,3,9
5001,5,4,1712,1712,"universidad eafit-","principal",2,"privada","universidad","antioquia","medellin",2016,1,342,77,632,21,1072
5001,5,2,4801,4801,"corporacion academia superior de artes","principal",2,"privada","institucion tecnologica","antioquia","medellin",2019,1,2,2,2,1,7
5001,5,2,4801,4801,"corporacion academia superior de artes","principal",2,"privada","institucion tecnologica","antioquia","medellin",2017,2,0,0,1,1,2
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2019,2,1,0,8,1,10
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2017,1,6,1,1,0,8
5001,5,3,2721,2721,"fundacion universitaria maria cano","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,2,20,47,40,38,145
5001,5,3,2747,2747,"fundacion universitaria autonoma de las americas","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2016,2,31,58,103,23,215
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2017,1,3,0,2,0,5
5001,5,3,2721,2721,"fundacion universitaria maria cano","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,1,21,32,50,35,138
5001,5,3,2813,2813,"universidad eia","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2015,2,61,23,37,20,141
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,1,2,2,0,1,5
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,2,3,0,0,1,4
5001,5,3,3302,3302,"instituto tecnologico metropolitano","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2015,1,56,14,75,52,197
5001,5,3,3204,3204,"tecnologico de antioquia","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2018,1,41,3,29,15,88
5001,5,3,3302,3302,"instituto tecnologico metropolitano","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2016,2,56,15,77,54,202
5001,5,2,4801,4801,"corporacion academia superior de artes","principal",2,"privada","institucion tecnologica","antioquia","medellin",2017,1,1,0,1,1,3
5001,5,3,2749,2749,"institucion universitaria  salazar y herrera","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2016,1,42,9,36,7,94
5001,5,3,2838,2838,"corporacion colegiatura colombiana","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2021,2,30,2,45,18,95
5001,5,3,3302,3302,"instituto tecnologico metropolitano","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2017,1,56,15,77,54,202
5001,5,4,2708,2708,"universidad ces","principal",2,"privada","universidad","antioquia","medellin",2017,1,221,77,239,18,555
5001,5,3,1812,1812,"universidad de medellin","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2014,2,186,38,82,36,342
5001,5,3,2815,2815,"corporacion universitaria adventista - unac","principal",2,"privada","institucion universitaria/escuela tecnologica","antioquia","medellin",2015,2,20,7,27,4,58
5001,5,3,3107,3107,"institucion universitaria pascual bravo","principal",1,"oficial","institucion universitaria/escuela tecnologica","antioquia","medellin",2019,1,4,1,0,1,6
5001,5,4,1201,1201,"universidad de antioquia","principal",1,"oficial","universidad","antioquia","medellin",2019,1,20,1,11,6,38
5001,5,4,1818,1816,"universidad cooperativa de colombia","seccional",2,"privada","universidad","antioquia","medellin",2015,1,162,62,207,33,464
